specimen,load_kN,Ubar,Diagn,VSt1,VSt2,HDiagn,VDiagn,HUbar,HStack,St1,St1St2,VStack
NS-REF,12.1582,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.2083,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.2623,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.3313,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154
NS-REF,12.3935,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.4529,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.4768,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.5177,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.5808,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.6515,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.6974,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.7666,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.8058,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.8612,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.9008,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,12.9458,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.0192,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.0631,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.1144,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.1904,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.2491,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.3004,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.3497,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.3943,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.4578,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.5080,0.0000,0.0000,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.0307,0.0307
NS-REF,13.5659,0.0000,0.0000,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0461,0.0461
NS-REF,13.6336,0.0000,0.0000,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0461,0.0461
NS-REF,13.6815,0.0000,0.0000,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0461,0.0461
NS-REF,13.7519,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,13.8064,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,13.8394,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,13.9057,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,13.9360,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,14.0086,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,14.0690,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
NS-REF,14.1353,0.1902,0.0000,0.0461,0.0000,0.0000,0.0000,0.1902,0.1902,0.0461,0.0461,0.0461
